"id","dd","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"USC00280734",-57.7,40.8292,-75.0833,80.2,"NJ","BELVIDERE BRG","","HCN","TMAX",1982,2023
"USC00281335",-39.39,40.7436,-74.3539,54.9,"NJ","CANOE BROOK","","","TMAX",1931,2023
"USC00281582",-73.06,41.03,-74.4247,237.1,"NJ","CHARLOTTEBURG RSVR","","HCN","TMAX",1893,2023
"USC00282023",-30.2555555555556,40.6667,-74.3236,24.4,"NJ","CRANFORD","","","TMAX",1969,2016
"USC00283029",-62.13,40.5742,-74.8817,80.8,"NJ","FLEMINGTON 5 NNW","","HCN","TMAX",1898,2023
"USC00284887",-41.28,40.8858,-74.2261,45.7,"NJ","LITTLE FALLS","","","TMAX",1914,2004
"USC00285003",-72.3,40.7875,-74.7789,167.6,"NJ","LONG VALLEY","","","TMAX",1929,2004
"USC00286055",-43.77,40.4728,-74.4225,33.8,"NJ","NEW BRUNSWICK 3 SE","","HCN","TMAX",1968,2023
"USC00287079",-37.94,40.6036,-74.4025,27.4,"NJ","PLAINFIELD","","HCN","TMAX",1893,2012
"USC00288194",-58.4333333333333,40.6153,-74.6531,40.8,"NJ","SOMERVILLE 4 NW","","","TMAX",1893,2006
"USC00288644",-67.4,41.2186,-74.6211,190.8,"NJ","SUSSEX 1 NW","","","TMAX",1893,2023
"USC00288648",-106.11,41.325,-74.6447,310.9,"NJ","SUSSEX 8 NNW","","","TMAX",1992,2005
"USC00289187",-52.89,41.0444,-74.2933,74.7,"NJ","WANAQUE RAYMOND DAM","","","TMAX",1945,2019
"USC00289317",-43.4666666666667,40.9089,-74.2533,51.8,"NJ","WAYNE","","","TMAX",1992,2003
"USC00300023",-120.5125,42.1014,-77.2344,304.5,"NY","ADDISON","","HCN","TMAX",1893,2020
"USC00300085",-165,42.2797,-77.7664,586.4,"NY","ALFRED","","HCN","TMAX",1893,2023
"USC00300093",-207.21,42.1003,-78.7497,457.2,"NY","ALLEGANY SP","","HCN","TMAX",1924,2023
"USC00300183",-201.09,42.3108,-78.0231,449.6,"NY","ANGELICA","","HCN","TMAX",1893,2023
"USC00300448",-147.73,42.3489,-77.3478,341.4,"NY","BATH","","","TMAX",1961,2014
"USC00301787",-138.57,42.1342,-77.0692,349.6,"NY","CORNING","","","TMAX",1992,2023
"USC00302036",-184.7,42.2533,-74.905,445,"NY","DELHI 2 SE","","","TMAX",1924,2023
"USC00302060",-160.64,42.0628,-75.4264,304.8,"NY","DEPOSIT","","HCN","TMAX",1962,2012
"USC00302610",-140.72,42.0997,-76.8358,288.6,"NY","ELMIRA","","HCN","TMAX",1894,2023
"USC00303025",-235.2,42.3294,-78.4636,481,"NY","FRANKLINVILLE","","","TMAX",1896,2023
"USC00303033",-141.43,42.4497,-79.312,231.6,"NY","FREDONIA","","HCN","TMAX",1914,2012
"USC00304174",-189.21,42.4492,-76.4492,292.6,"NY","ITHACA CORNELL UNIV","","HCN","TMAX",1893,2023
"USC00304207",-184.11,42.11,-79.1592,381,"NY","JAMESTOWN 4 ENE","","","TMAX",1960,2023
"USC00304575",-154.03,42.4486,-74.4653,338.3,"NY","LANSING MANOR","","","TMAX",1985,2023
"USC00304731",-193.13,41.8017,-74.74,481.6,"NY","LIBERTY 1 NE","","","TMAX",1898,2023
"USC00304808",-239.76,42.2472,-78.8125,495.3,"NY","LITTLE VALLEY","","","TMAX",1941,2023
"USC00305113",-203.2,42.4694,-75.0106,373.4,"NY","EMMONS","","HCN","TMAX",1983,2022
"USC00305310",-77.19,41.4603,-74.4489,213.4,"NY","MIDDLETOWN 2 NW","","","TMAX",1893,2011
"USC00306774",-85.39,41.3892,-74.6906,176.8,"NY","PORT JERVIS","","HCN","TMAX",1893,2023
"USC00307400",-160.34,42.1506,-78.7203,431.3,"NY","SALAMANCA 2","","","TMAX",1991,2008
"USC00307799",-308.67,42.0167,-74.4167,807.7,"NY","SLIDE MTN","","","TMAX",1961,2012
"USC00309047",-129.07,42.0019,-76.525,243.8,"NY","WAVERLY","","","TMAX",1893,2023
"USC00309189",-126.377777777778,42.2956,-79.5856,215.5,"NY","WESTFIELD 2 SSE","","","TMAX",1895,2003
"USC00360785",-72.87,40.3803,-76.0275,106.7,"PA","BLUE MARSH LAKE","","","TMAX",1978,2023
"USC00360868",-226.68,41.8981,-78.7144,506,"PA","BRADFORD 4SW RSCH 5","","","TMAX",1941,2023
"USC00361080",-50.23,40.5,-75.2042,118,"PA","BUCKSVILLE","","","TMAX",1978,2023
"USC00361139",-116.39,40.8414,-79.9164,304.8,"PA","BUTLER 2 SW","","","TMAX",1967,2020
"USC00361212",-138.9,41.6517,-76.8464,347.5,"PA","CANTON","","","TMAX",1976,2023
"USC00361485",-145.25,41.1922,-79.4361,317,"PA","CLARION 3 SW","","","TMAX",1943,2023
"USC00361838",-124.94,41.9906,-77.1567,350.5,"PA","COWANESQUE DAM","","","TMAX",1993,2023
"USC00362470",-120.12,40.4681,-78.7308,591.3,"PA","EBENSBURG SEWAGE PLT","","","TMAX",1964,2023
"USC00362574",-93.38,40.5044,-80.0889,218.5,"PA","EMSWORTH L/D OHIO RVR","","","TMAX",1991,2023
"USC00362629",-124.95,41.5067,-78.2275,317,"PA","EMPORIUM","","","TMAX",1969,2008
"USC00362942",-87.79,40.715,-79.5133,283.5,"PA","FORD CITY 4 S DAM","","","TMAX",1943,2023
"USC00363028",-88.35,41.4003,-79.8306,309.4,"PA","FRANKLIN","","HCN","TMAX",1897,2023
"USC00363632",-62.04,40.5517,-75.9911,112.5,"PA","HAMBURG","","","TMAX",1894,2021
"USC00363758",-136.52,41.4764,-75.1653,271.3,"PA","HAWLEY 1 E","","","TMAX",1897,2017
"USC00364214",-94.54,40.5972,-79.1186,335.9,"PA","INDIANA 3 SE","","","TMAX",1946,2023
