"id","dd","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"USC00280734",-65.73,40.8292,-75.0833,80.2,"NJ","BELVIDERE BRG","","HCN","TMAX",1982,2023
"USC00280907",-58.28,40.8917,-74.3964,85.3,"NJ","BOONTON 1 SE","","HCN","TMAX",1893,2023
"USC00281335",-43.04,40.7436,-74.3539,54.9,"NJ","CANOE BROOK","","","TMAX",1931,2023
"USC00281582",-82.06,41.03,-74.4247,237.1,"NJ","CHARLOTTEBURG RSVR","","HCN","TMAX",1893,2023
"USC00283029",-58.78,40.5742,-74.8817,80.8,"NJ","FLEMINGTON 5 NNW","","HCN","TMAX",1898,2023
"USC00286055",-38.81,40.4728,-74.4225,33.8,"NJ","NEW BRUNSWICK 3 SE","","HCN","TMAX",1968,2023
"USC00286979",-58.83,40.6956,-75.2,70.7,"NJ","PHILLIPSBURG-EASTON BRG","","","TMAX",2011,2023
"USC00288644",-94.84,41.2186,-74.6211,190.8,"NJ","SUSSEX 1 NW","","","TMAX",1893,2023
"USC00289363",-61.86,40.4519,-74.7792,86.3,"NJ","WERTSVILLE 4 NE","","","TMAX",1995,2023
"USC00300023",-160.242857142857,42.1014,-77.2344,304.5,"NY","ADDISON","","HCN","TMAX",1893,2020
"USC00300085",-172.44,42.2797,-77.7664,586.4,"NY","ALFRED","","HCN","TMAX",1893,2023
"USC00300093",-206.11,42.1003,-78.7497,457.2,"NY","ALLEGANY SP","","HCN","TMAX",1924,2023
"USC00300183",-160.43,42.3108,-78.0231,449.6,"NY","ANGELICA","","HCN","TMAX",1893,2023
"USC00301102",-182.43,41.8275,-74.9506,372.2,"NY","CALLICOON CTR","","","TMAX",2011,2023
"USC00301787",-217.06,42.1342,-77.0692,349.6,"NY","CORNING","","","TMAX",1992,2023
"USC00302036",-155.257142857143,42.2533,-74.905,445,"NY","DELHI 2 SE","","","TMAX",1924,2023
"USC00302169",-138.77,42.0772,-74.9828,365.8,"NY","DOWNSVILLE DAM","","","TMAX",1959,2023
"USC00302197",-124.2625,42.4717,-79.3336,192.3,"NY","DUNKIRK","","","PRCP",2009,2023
"USC00302454",-172.39,42.3328,-75.2297,352,"NY","E SIDNEY","","","TMAX",2010,2023
"USC00302610",-154.61,42.0997,-76.8358,288.6,"NY","ELMIRA","","HCN","TMAX",1894,2023
"USC00303025",-222.79,42.3294,-78.4636,481,"NY","FRANKLINVILLE","","","TMAX",1896,2023
"USC00303983",-231.07,42.3489,-77.7044,403.9,"NY","HORNELL ALMOND DAM","","","TMAX",2011,2023
"USC00304174",-209.75,42.4492,-76.4492,292.6,"NY","ITHACA CORNELL UNIV","","HCN","TMAX",1893,2023
"USC00304207",-178.1,42.11,-79.1592,381,"NY","JAMESTOWN 4 ENE","","","TMAX",1960,2023
