"id","prcp","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"US1NJBG0023",39.618,41.0191,-74.2334,149.4,"NJ","OAKLAND 0.9 SSE","","","PRCP",2008,2023
"US1NJBG0030",36.542,41.0253,-74.2236,109.4,"NJ","OAKLAND 1.0 ESE","","","PRCP",2011,2023
"US1NJES0018",33.315,40.7245,-74.2595,72.5,"NJ","MAPLEWOOD TWP 0.9 SE","","","PRCP",2012,2023
"US1NJES0024",37.9177777777778,40.8557,-74.2356,108.5,"NJ","CEDAR GROVE TWP 0.4 W","","","PRCP",2014,2023
"US1NJHN0003",39.068,40.6418,-74.8827,94.2,"NJ","CLINTON 1.6 ENE","","","PRCP",2008,2023
"US1NJHN0007",36.895,40.66,-75.008,283.8,"NJ","BETHLEHEM TWP 0.6 S","","","PRCP",2008,2023
"US1NJHN0012",40.012,40.6317,-75.1045,239,"NJ","HOLLAND TWP 2.6 NNE","","","PRCP",2008,2023
"US1NJHN0015",39.0444444444444,40.5091,-74.8549,54.6,"NJ","FLEMINGTON 0.3 E","","","PRCP",2009,2022
"US1NJHN0018",39.897,40.6872,-74.8575,186.8,"NJ","CLINTON TWP 3.9 N","","","PRCP",2009,2023
"US1NJHN0019",36.762,40.6064,-74.871,83.8,"NJ","LEBANON 3.2 SW","","","PRCP",2009,2023
"US1NJHN0021",35.536,40.6841,-74.8389,193.9,"NJ","LEBANON 2.8 N","","","PRCP",2009,2023
"US1NJHN0031",38.93,40.5342,-75.0559,88.4,"NJ","FRENCHTOWN 0.5 N","","","PRCP",2012,2023
"US1NJMD0009",38.0025,40.4099,-74.573,67.1,"NJ","SOUTH BRUNSWICK TWP 3.1 NW","","","PRCP",2008,2023
"US1NJMD0028",37.542,40.4897,-74.4409,12.5,"NJ","NEW BRUNSWICK 0.3 NE","","","PRCP",2010,2023
"US1NJMD0043",40.945,40.5554,-74.274,4,"NJ","WOODBRIDGE TWP 1.1 ESE","","","PRCP",2012,2023
"US1NJMD0045",40.606,40.5759,-74.2847,21.6,"NJ","WOODBRIDGE TWP 1.1 NNE","","","PRCP",2012,2023
"US1NJMD0062",40.0955555555556,40.4562,-74.2413,7.6,"NJ","OLD BRIDGE TWP 5.1 NE","","","PRCP",2014,2023
"US1NJMD0063",34.7733333333333,40.4437,-74.3844,19.5,"NJ","SOUTH RIVER 0.3 WSW","","","PRCP",2014,2023
"US1NJMS0006",38.648,40.9018,-74.5189,216.1,"NJ","ROCKAWAY 0.4 NNW","","","PRCP",2008,2023
"US1NJMS0011",35.964,40.9096,-74.4141,188.7,"NJ","BOONTON 0.6 NW","","","PRCP",2008,2023
"US1NJMS0018",36.1133333333333,41.0127,-74.5103,238,"NJ","JEFFERSON TWP 2.4 ENE","","","PRCP",2009,2022
"US1NJMS0023",44.085,40.8821,-74.5944,271.9,"NJ","MINE HILL TWP 0.4 NE","","","PRCP",2010,2023
"US1NJMS0040",41.318,40.7481,-74.3908,58.8,"NJ","CHATHAM 0.6 NW","","","PRCP",2010,2023
"US1NJMS0049",39.7942857142857,40.778,-74.3992,62.5,"NJ","FLORHAM PARK 0.2 WNW","","","PRCP",2011,2020
"US1NJMS0054",31.841,40.8675,-74.7536,293.5,"NJ","MOUNT OLIVE TWP 0.6 W","","","PRCP",2012,2023
"US1NJMS0059",40.3366666666667,40.7524,-74.4297,108.8,"NJ","MADISON 0.8 WSW","","","PRCP",2014,2023
"US1NJMS0061",39.94,40.7853,-74.8612,224.9,"NJ","WASHINGTON TWP 3.6 W","","","PRCP",2012,2023
"US1NJMS0071",38.5444444444444,40.8805,-74.4631,161.5,"NJ","DENVILLE TWP 1.5 ESE","","","PRCP",2014,2023
"US1NJPS0012",42.334,40.8796,-74.227,58.5,"NJ","LITTLE FALLS TWP 0.5 WNW","","","PRCP",2009,2023
"US1NJPS0022",38.913,41.0653,-74.2571,185.9,"NJ","RINGWOOD 3.0 SSE","","","PRCP",2011,2023
