"id","sd","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"USC00281335",24.7142857142857,40.7436,-74.3539,54.9,"NJ","CANOE BROOK","","","TMAX",1931,2023
"USC00281582",31.4,41.03,-74.4247,237.1,"NJ","CHARLOTTEBURG RSVR","","HCN","TMAX",1893,2023
"USC00282023",28.3,40.6667,-74.3236,24.4,"NJ","CRANFORD","","","TMAX",1969,2016
"USC00283516",39.8,41.1386,-74.3244,143.3,"NJ","GREENWOOD LAKE","","","PRCP",1941,2009
"USC00286055",27.2,40.4728,-74.4225,33.8,"NJ","NEW BRUNSWICK 3 SE","","HCN","TMAX",1968,2023
"USC00288194",34.3333333333333,40.6153,-74.6531,40.8,"NJ","SOMERVILLE 4 NW","","","TMAX",1893,2006
"USC00288648",61,41.325,-74.6447,310.9,"NJ","SUSSEX 8 NNW","","","TMAX",1992,2005
"USC00300093",85.4,42.1003,-78.7497,457.2,"NY","ALLEGANY SP","","HCN","TMAX",1924,2023
"USC00300183",74.1,42.3108,-78.0231,449.6,"NY","ANGELICA","","HCN","TMAX",1893,2023
"USC00300254",60.1,42.1394,-74.6536,399.3,"NY","ARKVILLE 2 W","","","PRCP",1948,2017
"USC00300448",49.7,42.3489,-77.3478,341.4,"NY","BATH","","","TMAX",1961,2014
"USC00301413",50.3,42.0025,-76.6383,250.5,"NY","CHEMUNG","","","TOBS",1965,2016
"USC00301787",58.8,42.1342,-77.0692,349.6,"NY","CORNING","","","TMAX",1992,2023
"USC00302036",71.2,42.2533,-74.905,445,"NY","DELHI 2 SE","","","TMAX",1924,2023
"USC00302610",47.5,42.0997,-76.8358,288.6,"NY","ELMIRA","","HCN","TMAX",1894,2023
"USC00303025",82,42.3294,-78.4636,481,"NY","FRANKLINVILLE","","","TMAX",1896,2023
"USC00303065",73.7,42.1378,-78.2372,499.9,"NY","FRIENDSHIP 7 SW","","","PRCP",1969,2009
"USC00303444",74.1,42.3242,-75.7708,280.4,"NY","GREENE","","","PRCP",1909,2023
"USC00303983",74,42.3489,-77.7044,403.9,"NY","HORNELL ALMOND DAM","","","PRCP",1950,2023
"USC00304174",62.8,42.4492,-76.4492,292.6,"NY","ITHACA CORNELL UNIV","","HCN","TMAX",1893,2023
"USC00304731",77.9,41.8017,-74.74,481.6,"NY","LIBERTY 1 NE","","","TMAX",1898,2023
"USC00304772",40.8,42.0636,-77.1467,317,"NY","LINDLEY 2N","","","PRCP",1953,2012
"USC00305113",77.7,42.4694,-75.0106,373.4,"NY","EMMONS","","HCN","TMAX",1983,2022
"USC00306196",63.6,42.0736,-78.4517,432.8,"NY","OLEAN","","","TMAX",1927,2023
"USC00306774",48.3,41.3892,-74.6906,176.8,"NY","PORT JERVIS","","HCN","TMAX",1893,2023
"USC00307210",81,41.5917,-74.6142,387.1,"NY","ROCK HILL 3 SW","","","TMAX",1977,2022
"USC00307400",74.7,42.1506,-78.7203,431.3,"NY","SALAMANCA 2","","","TMAX",1991,2008
"USC00307713",88.9,42.1572,-79.5936,475.5,"NY","SHERMAN","","","PRCP",1951,2005
"USC00307772",85.2222222222222,42.2786,-79.2656,493.8,"NY","SINCLAIRVILLE","","","PRCP",1959,2003
"USC00307799",93.8,42.0167,-74.4167,807.7,"NY","SLIDE MTN","","","TMAX",1961,2012
"USC00308594",52.4444444444444,42.0667,-77.4833,521.2,"NY","TROUPSBURG 4 NE","","","PRCP",1944,2003
"USC00308670",72.8,42.3542,-75.3242,451.1,"NY","UNADILLA 2 N","","","TOBS",1979,2014
"USC00309047",46.3,42.0019,-76.525,243.8,"NY","WAVERLY","","","TMAX",1893,2023
"USC00309072",60.3,42.1172,-77.9475,460.2,"NY","WELLSVILLE","","","TMAX",1980,2023
"USC00309189",70.2222222222222,42.2956,-79.5856,215.5,"NY","WESTFIELD 2 SSE","","","TMAX",1895,2003
"USC00309425",45,42.0597,-77.7553,661.4,"NY","WHITESVILLE 1N","","","PRCP",1954,2023
"USC00360022",22.1,40.5361,-79.8153,228,"PA","ACMETONIA LOCK 3","","","TMAX",1978,2023
