"id","sf","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"USC00280734",63.73,40.8292,-75.0833,80.2,"NJ","BELVIDERE BRG","","HCN","TMAX",1982,2023
"USC00280927",47.94,40.5561,-74.5717,16.8,"NJ","BOUND BROOK 2W","","","PRCP",1956,2023
"USC00281327",84.21,41.1092,-74.4828,370,"NJ","CANISTEAR RSVR","","","PRCP",1948,2023
"USC00281335",57.06,40.7436,-74.3539,54.9,"NJ","CANOE BROOK","","","TMAX",1931,2023
"USC00281582",84.17,41.03,-74.4247,237.1,"NJ","CHARLOTTEBURG RSVR","","HCN","TMAX",1893,2023
"USC00282023",56.18,40.6667,-74.3236,24.4,"NJ","CRANFORD","","","TMAX",1969,2016
"USC00283029",68.2,40.5742,-74.8817,80.8,"NJ","FLEMINGTON 5 NNW","","HCN","TMAX",1898,2023
"USC00283516",74.72,41.1386,-74.3244,143.3,"NJ","GREENWOOD LAKE","","","PRCP",1941,2009
"USC00284887",5.65,40.8858,-74.2261,45.7,"NJ","LITTLE FALLS","","","TMAX",1914,2004
"USC00285003",83.99,40.7875,-74.7789,167.6,"NJ","LONG VALLEY","","","TMAX",1929,2004
"USC00286055",67,40.4728,-74.4225,33.8,"NJ","NEW BRUNSWICK 3 SE","","HCN","TMAX",1968,2023
"USC00286460",72.16,41.0356,-74.5011,258.2,"NJ","OAK RIDGE RSVR","","","PRCP",1941,2023
"USC00287079",41.825,40.6036,-74.4025,27.4,"NJ","PLAINFIELD","","HCN","TMAX",1893,2012
"USC00287301",71.46,40.7369,-74.7322,111.3,"NJ","POTTERSVILLE 2 NNW","","","PRCP",1968,2015
"USC00287587",46.62,41.0917,-74.2683,93,"NJ","RINGWOOD","","","PRCP",1902,2015
"USC00288194",71.7,40.6153,-74.6531,40.8,"NJ","SOMERVILLE 4 NW","","","TMAX",1893,2006
"USC00288648",128.45,41.325,-74.6447,310.9,"NJ","SUSSEX 8 NNW","","","TMAX",1992,2005
"USC00289187",48.27,41.0444,-74.2933,74.7,"NJ","WANAQUE RAYMOND DAM","","","TMAX",1945,2019
"USC00289317",40.9555555555556,40.9089,-74.2533,51.8,"NJ","WAYNE","","","TMAX",1992,2003
"USC00300023",107.375,42.1014,-77.2344,304.5,"NY","ADDISON","","HCN","TMAX",1893,2020
"USC00300093",149.96,42.1003,-78.7497,457.2,"NY","ALLEGANY SP","","HCN","TMAX",1924,2023
"USC00300183",143.32,42.3108,-78.0231,449.6,"NY","ANGELICA","","HCN","TMAX",1893,2023
"USC00300254",130.21,42.1394,-74.6536,399.3,"NY","ARKVILLE 2 W","","","PRCP",1948,2017
"USC00300448",99.63,42.3489,-77.3478,341.4,"NY","BATH","","","TMAX",1961,2014
"USC00301168",124.15,42.1944,-76.3128,280.4,"NY","CANDOR 2SE","","","PRCP",1944,2020
"USC00301413",83.45,42.0025,-76.6383,250.5,"NY","CHEMUNG","","","TOBS",1965,2016
"USC00301521",168.71,41.9136,-74.5722,503.8,"NY","CLARYVILLE","","","PRCP",1945,2016
"USC00301787",115.52,42.1342,-77.0692,349.6,"NY","CORNING","","","TMAX",1992,2023
"USC00302036",145.25,42.2533,-74.905,445,"NY","DELHI 2 SE","","","TMAX",1924,2023
"USC00302610",90.99,42.0997,-76.8358,288.6,"NY","ELMIRA","","HCN","TMAX",1894,2023
"USC00303025",238.02,42.3294,-78.4636,481,"NY","FRANKLINVILLE","","","TMAX",1896,2023
"USC00303033",162.78,42.4497,-79.312,231.6,"NY","FREDONIA","","HCN","TMAX",1914,2012
"USC00303065",187.82,42.1378,-78.2372,499.9,"NY","FRIENDSHIP 7 SW","","","PRCP",1969,2009
"USC00303144",86.45,41.3458,-74.4872,140.2,"NY","GARDNERVILLE","","","PRCP",1956,2008
"USC00303983",117.43,42.3489,-77.7044,403.9,"NY","HORNELL ALMOND DAM","","","PRCP",1950,2023
"USC00304174",144.01,42.4492,-76.4492,292.6,"NY","ITHACA CORNELL UNIV","","HCN","TMAX",1893,2023
"USC00304207",165.55,42.11,-79.1592,381,"NY","JAMESTOWN 4 ENE","","","TMAX",1960,2023
"USC00304575",130.39,42.4486,-74.4653,338.3,"NY","LANSING MANOR","","","TMAX",1985,2023
